geolocation,question,location,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize,breakOut,breakOutCategory,questionID,locationID
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.5,3.6,8.3,20,Intermediate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.5,91.7,96.4,341,Intermediate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.8,5.5,8.3,86,Adequate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),10.7,5,21.4,6,Unknown PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.2,91.7,94.5,1190,Adequate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),14,7.2,25.6,8,Inadequate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),86,74.4,92.8,52,Inadequate PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),89.3,78.6,95,55,Unknown PNC,Adequacy of Prenatal care,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.4,91.2,95.1,610,"$50,000 or more",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.6,4.9,8.8,44,"$50,000 or more",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.6,4.4,9.7,23,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.4,4.4,9.1,25,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.4,90.3,95.6,323,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.6,90.9,95.6,374,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),90.7,86.5,93.7,238,"Less than $10,000",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),9.3,6.3,13.5,22,"Less than $10,000",Income (years 2004 and beyond),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.6,92,94.9,1104,Married,Marital Status,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.4,5.1,8,73,Married,Marital Status,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.8,6,10.3,47,Other,Marital Status,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.2,89.7,94,534,Other,Marital Status,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.2,90.1,93.9,753,30+ yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),89.7,83.1,94,105,<20 yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.3,92.5,95.7,780,20-29 yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.8,6.1,9.9,60,30+ yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),10.3,6,16.9,12,<20 yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.7,4.3,7.5,48,20-29 yrs,Maternal Age (3 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),89.7,83.1,94,105,<20 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.2,4.8,7.9,58,25-34 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.8,92.1,95.2,864,25-34 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.9,90.9,95.9,324,20-24 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),91.4,87.9,94,345,35+ yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),10.3,6,16.9,12,<20 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),8.6,6,12.1,29,35+ yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.1,4.1,9.1,21,20-24 yrs,Maternal Age (4 Levels),QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.6,89.8,94.7,409,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.3,90,94.1,664,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.8,4.2,8.1,35,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.2,91.9,95.8,543,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.4,5.3,10.2,32,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.7,5.9,10,52,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93,91.7,94.1,1616,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7,5.9,8.3,119,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.5,90.1,94.4,543,12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),95.4,89.7,98,107,< 12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.5,5.6,9.9,43,12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.8,5.5,8.6,70,>12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.2,91.4,94.5,964,>12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),4.6,2,10.3,5,< 12 yrs,Maternal Education,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.7,91.7,96.6,300,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.2,3,8.8,12,Hispanic,Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.8,91.2,97,233,Hispanic,Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.3,90.6,93.8,1084,Other non-Hispanic,Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.3,3.4,8.3,17,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.7,6.2,9.4,88,Other non-Hispanic,Maternal Race/Ethnicity,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),8.2,6.2,10.6,48,Medicaid,Medicaid Recipient,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.8,92.3,95.1,1088,Non-Medicaid,Medicaid Recipient,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),91.8,89.4,93.8,550,Medicaid,Medicaid Recipient,QUO7,15
