"geolocation","question","location","response","value","lowConfidenceLimit","highConfidenceLimit","sampleSize","breakOut","breakOutCategory","questionID","locationID"
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",64.3,61.7,66.8,798,"Adequate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",73.4,68.7,77.7,259,"Intermediate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",35.7,33.2,38.3,476,"Adequate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",70,57.7,79.9,40,"Unknown PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",26.6,22.3,31.3,102,"Intermediate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",30,20.1,42.3,20,"Unknown PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",28.3,18.2,41.2,16,"Inadequate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",71.7,58.8,81.8,44,"Inadequate PNC","Adequacy of Prenatal care","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",67,64.7,69.2,1070,"NBW (>2500g)","Birth Weight","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",63.3,54.6,71.3,71,"LBW (<=2500g)","Birth Weight","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",36.7,28.7,45.4,49,"LBW (<=2500g)","Birth Weight","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",33,30.8,35.3,565,"NBW (>2500g)","Birth Weight","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",71.7,67.2,75.9,286,"$25,000 to $49,999","Income (years 2004 and beyond)","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",58,54.2,61.7,369,"$50,000 or more","Income (years 2004 and beyond)","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",68.6,62.8,73.9,175,"Less than $10,000","Income (years 2004 and beyond)","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","FALSE",73.5,68.7,77.8,247,"$10,000 to $24,999","Income (years 2004 and beyond)","QUO65",15
"(21.304850435, -157.857749403)","Multivitamin?","Hawaii","TRUE",26.5,22.2,31.3,98,"$10,000 to $24,999","Income (years 2004 and beyond)","QUO65",15
