location,breakOutCategory,breakOut,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,FALSE,64.1,62.6,65.5,5178
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,TRUE,35.9,34.5,37.4,2949
Utah,Adequacy of Prenatal care,Adequate PNC,FALSE,67.4,64.1,70.4,727
Hawaii,Adequacy of Prenatal care,Adequate PNC,FALSE,58.9,55.1,62.6,669
Maryland,Adequacy of Prenatal care,Adequate PNC,FALSE,66.7,61.7,71.3,546
Michigan,Adequacy of Prenatal care,Adequate PNC,FALSE,64.7,61.6,67.7,759
Maine,Adequacy of Prenatal care,Adequate PNC,TRUE,35.1,31.6,38.9,324
Minnesota,Adequacy of Prenatal care,Adequate PNC,TRUE,41.5,38.3,44.9,412
Maine,Adequacy of Prenatal care,Adequate PNC,FALSE,64.9,61.1,68.4,547
Utah,Adequacy of Prenatal care,Adequate PNC,TRUE,32.6,29.6,35.9,354
Hawaii,Adequacy of Prenatal care,Adequate PNC,TRUE,41.1,37.4,44.9,441
Maryland,Adequacy of Prenatal care,Adequate PNC,TRUE,33.3,28.7,38.3,321
New Jersey,Adequacy of Prenatal care,Adequate PNC,FALSE,63.9,60.4,67.2,595
West Virginia,Adequacy of Prenatal care,Adequate PNC,FALSE,67.8,64.4,71.1,757
West Virginia,Adequacy of Prenatal care,Adequate PNC,TRUE,32.2,28.9,35.6,342
New Jersey,Adequacy of Prenatal care,Adequate PNC,TRUE,36.1,32.8,39.6,320
Minnesota,Adequacy of Prenatal care,Adequate PNC,FALSE,58.5,55.1,61.7,578
Michigan,Adequacy of Prenatal care,Adequate PNC,TRUE,35.3,32.3,38.4,435
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,FALSE,73.9,68.2,78.9,389
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,TRUE,26.1,21.1,31.8,171
New Jersey,Adequacy of Prenatal care,Inadequate PNC,TRUE,29,19.5,40.9,25
West Virginia,Adequacy of Prenatal care,Inadequate PNC,FALSE,70.6,57.5,81,75
Minnesota,Adequacy of Prenatal care,Inadequate PNC,TRUE,37.5,21.1,57.2,16
West Virginia,Adequacy of Prenatal care,Inadequate PNC,TRUE,29.4,19,42.5,38
Maryland,Adequacy of Prenatal care,Inadequate PNC,FALSE,80.8,68.1,89.3,87
Utah,Adequacy of Prenatal care,Inadequate PNC,TRUE,38.3,23.6,55.5,15
Hawaii,Adequacy of Prenatal care,Inadequate PNC,FALSE,54.3,39,68.9,47
Utah,Adequacy of Prenatal care,Inadequate PNC,FALSE,61.7,44.5,76.4,28
Minnesota,Adequacy of Prenatal care,Inadequate PNC,FALSE,62.5,42.8,78.9,34
New Jersey,Adequacy of Prenatal care,Inadequate PNC,FALSE,71,59.1,80.5,63
Maryland,Adequacy of Prenatal care,Inadequate PNC,TRUE,19.2,10.7,31.9,35
Michigan,Adequacy of Prenatal care,Inadequate PNC,FALSE,81.9,68.7,90.4,42
