location,breakOutCategory,breakOut,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,FALSE,64.6,63.6,65.5,15888
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,TRUE,35.4,34.5,36.4,8337
Delaware,Adequacy of Prenatal care,Adequate PNC,TRUE,30,26.8,33.4,232
Georgia,Adequacy of Prenatal care,Adequate PNC,TRUE,31.2,25.6,37.5,155
New Jersey,Adequacy of Prenatal care,Adequate PNC,FALSE,59.4,55.9,62.8,560
Wyoming,Adequacy of Prenatal care,Adequate PNC,TRUE,36.7,31.8,42,149
Hawaii,Adequacy of Prenatal care,Adequate PNC,TRUE,31.2,27.8,34.8,348
Pennsylvania,Adequacy of Prenatal care,Adequate PNC,TRUE,35.3,31.5,39.4,256
Oregon,Adequacy of Prenatal care,Adequate PNC,FALSE,65.1,61.2,68.8,805
Michigan,Adequacy of Prenatal care,Adequate PNC,TRUE,33.5,30.5,36.6,379
Maryland,Adequacy of Prenatal care,Adequate PNC,FALSE,68,63.2,72.5,520
Arkansas,Adequacy of Prenatal care,Adequate PNC,TRUE,23.4,19.3,28.1,202
New York City,Adequacy of Prenatal care,Adequate PNC,TRUE,33.9,30.4,37.5,353
Wisconsin,Adequacy of Prenatal care,Adequate PNC,TRUE,40.3,35.9,44.9,283
Colorado,Adequacy of Prenatal care,Adequate PNC,FALSE,63.3,59.3,67.1,667
Hawaii,Adequacy of Prenatal care,Adequate PNC,FALSE,68.8,65.2,72.2,764
Missouri,Adequacy of Prenatal care,Adequate PNC,FALSE,66.2,62.6,69.7,526
Georgia,Adequacy of Prenatal care,Adequate PNC,FALSE,68.8,62.5,74.4,516
New York (excluding NYC),Adequacy of Prenatal care,Adequate PNC,TRUE,35.9,31.7,40.3,281
Maine,Adequacy of Prenatal care,Adequate PNC,TRUE,38.3,34.7,42.1,348
Maryland,Adequacy of Prenatal care,Adequate PNC,TRUE,32,27.5,36.8,351
Maine,Adequacy of Prenatal care,Adequate PNC,FALSE,61.7,57.9,65.3,525
Minnesota,Adequacy of Prenatal care,Adequate PNC,FALSE,59.2,55.9,62.4,609
Utah,Adequacy of Prenatal care,Adequate PNC,TRUE,34.8,31.7,38.1,383
Vermont,Adequacy of Prenatal care,Adequate PNC,TRUE,41.1,37.8,44.6,343
Missouri,Adequacy of Prenatal care,Adequate PNC,TRUE,33.8,30.3,37.4,279
New Jersey,Adequacy of Prenatal care,Adequate PNC,TRUE,40.6,37.2,44.1,362
Colorado,Adequacy of Prenatal care,Adequate PNC,TRUE,36.7,32.9,40.7,416
New York (excluding NYC),Adequacy of Prenatal care,Adequate PNC,FALSE,64.1,59.7,68.3,444
New Mexico,Adequacy of Prenatal care,Adequate PNC,TRUE,30.4,27.4,33.5,256
Nebraska,Adequacy of Prenatal care,Adequate PNC,TRUE,39.1,35.7,42.5,397
Rhode Island,Adequacy of Prenatal care,Adequate PNC,TRUE,37.3,34,40.8,388
